section,payment_nature,payment_section,code
137/1,Admitted Income Tax,Admitted Income Tax,9203
147,Advance Income Tax,Advance Income Tax,9202
147(5B),Advance Income Tax,Advance Income Tax u/s 147(5B),92021
147(A),Advance Income Tax,Advance Income Tax u/s 147(A),92022
147(100D),Advance Income Tax,Advance Income Tax for 100D,92025
CVT,CVT,"Modaraba certificate or any instrument of redeemable capital as cefined in the Companies Ordinance, 1984",920701
CVT/1,CVT,Shares of a public company listed on a registered stock exchange,920702
CVT/2,CVT,"Motor vehicle not plying for hire whether imported, purchased from a manufacturerer in Pakistan or others",920703
CVT/3,CVT,Commercial immoveable property of any size situated in an urban area,920704
CVT/4,CVT,"Residential immoveable property (other than plots) situated in urban area, measuring at least 500 sq yards or one kanal or more",920705
CVT/5,CVT,Residential flats of any size situated in urban area,920706
CVT/6,CVT,CVT 2022 on Motor Vehicles in Pakistan,64100401
137/2,Demanded Income Tax,Demanded Income Tax,9204
Misc.,Misc.,Misc.,920600
153(1)(a)/6,Withheld Income Tax (Adjustable),Payment for Goods u/s 153(1)(a) (ATL @ 1% / Non-ATL @ 2%),64060002
153(1)(a)/7,Withheld Income Tax (Adjustable),Payment for Goods u/s 153(1)(a)  (ATL @ 1.5% / Non-ATL @ 3%),64060003
153(1)(a)/8,Withheld Income Tax (Adjustable),Payment for Goods u/s 153(1)(a) (ATL @ 4% / Non-ATL @ 8%),64060008
153(1)(a)/9,Withheld Income Tax (Adjustable),Payment for Goods u/s 153(1)(a) (ATL @ 4.5% / Non-ATL @ 9%),64060009
153(1)(a)/10,Withheld Income Tax (Adjustable),Payment for Goods u/s 153(1)(a) @3.5%,64060007
153(1)(a)/11,Withheld Income Tax (Adjustable),'Payment for Goods u/s 153(1)(a) @3%,64060006
153(1)(a)/12,Withheld Income Tax (Adjustable),Payment for Goods u/s 153(1)(a) (ATL @ 2% / Non-ATL @ 4%),64060004
153(1)(a)/13,Withheld Income Tax (Adjustable),Payment for Goods u/s 153(1)(a) (ATL @ 2.5% / Non-ATL @ 5%),64060005
153(1)(a)/14,Withheld Income Tax (Adjustable),Payment for Goods u/s 153(1)(a) @6%,64060012
153(1)(a)/15,Withheld Income Tax (Adjustable),Payment for Goods u/s 153(1)(a) @7%,64060014
153(1)(a)/16,Withheld Income Tax (Adjustable),Payment for Goods u/s 153(1)(a) @7.75%,64060031
153(1)(a)/17,Withheld Income Tax (Final),Payment for Goods u/s 153(1)(a)  (ATL @ 2% / Non-ATL @ 4%),64060054
153(1)(a)/18,Withheld Income Tax (Final),Payment for Goods u/s 153(1)(a) (ATL @ 2.5% / Non-ATL @ 5%),64060055
153(1)(a)/19,Withheld Income Tax (Final),Payment for Goods u/s 153(1)(a) @6%,64060062
153(1)(a)/20,Withheld Income Tax (Final),Payment for Goods u/s 153(1)(a) @7%,64060064
153(1)(a)/21,Withheld Income Tax (Final),Payment for Goods u/s 153(1)(a) @7.75%,64060081
153(1)(a)/22,Withheld Income Tax (Adjustable),Payment for Goods u/s 153(1)(a) @8%,64060016
153(1)(a)/23,Withheld Income Tax (Adjustable),Payment for Goods u/s 153(1)(a) @9%,64060018
153(1)(b)/8,Withheld Income Tax (Adjustable),Payment for Services u/s 153(1)(b) @1%,64060102
153(1)(b)/9,Withheld Income Tax (Adjustable),Payment for Services u/s 153(1)(b) @2%,64060104
153(1)(b)/10,Withheld Income Tax (Adjustable),Payment for Services u/s 153(1)(b) @8% / 12%,64060116
153(1)(b)/11,Withheld Income Tax (Final),Payment to electronic / print media for advertising Services u/s 153(1)(b) (ATL @ 1.5% / Non-ATL @ 3%),64060153
153(1)(b)/12,Withheld Income Tax (Final),Payment for Services u/s 153(1)(b) @14.5%,64060179
153(1)(b)/13,Withheld Income Tax (Final),Payment for Services u/s 153(1)(b) @17.5%,64060185
153(1)(b)/14,Withheld Income Tax (Adjustable),Payment for Services u/s 153(1)(b) @12%,64060124
153(1)(b)/15,Withheld Income Tax (Adjustable),Payment for Services u/s 153(1)(b) @15%,64060130
233A(1)(b),Withheld Income Tax (Adjustable),Value of Shares traded through a member of a Stock exchange u/s 233A (1)(b) (ATL @ 0.02% / Non-ATL @ 0.04%),64120102
233A(1)(c),Withheld Income Tax (Adjustable),Value of Shares traded by a member of a Stock exchange u/s 233A (1)(c),64120103
236(1)(d),Withheld Income Tax (Adjustable),Internet Bill u/s 236(1)(d) @15%,64150005
236(1)€,Withheld Income Tax (Adjustable),Prepaid Internet card u/s 236(1)(e) @15%,64150006
231B(1)/5,Withheld Income Tax (Adjustable),Motor Vehicle Registration Fee u/s 231B(1) (Upto 850 cc) – on value of vehicle,64100301
231B/3,Withheld Income Tax (Adjustable),Motor Vehicle Transfer Fee u/s 231B(2),64100302
231B/4,Withheld Income Tax (Adjustable),Motor Vehicle Registration Fee u/s 231B (1A) (Non-ATL @ 4%),64100304
149/1,Withheld Income Tax (Adjustable),Salary of Federal Government Employees u/s 149,64020001
149/2,Withheld Income Tax (Adjustable),Salary of Provincial Government Employees u/s 149,64020002
149/3,Withheld Income Tax (Adjustable),Salary of Other Employees u/s 149,64020004
155,Withheld Income Tax (Adjustable),Rent of Immovable Property u/s 155,64080001
156B,Withheld Income Tax (Adjustable),Withdrawal from Pension Fund u/s 156B,64090201
23A/1,Withheld Income Tax (Adjustable),"Withdrawal from Pension Fund u/c (23A), Part I, Second Schedule",64090202
231AB/1,Withheld Income Tax (Adjustable),Advance tax on cash withdrawal u/s 231AB,64100101
234/1,Withheld Income Tax (Adjustable),Goods Transport Public Vehicle Tax u/s 234,64130001
234/2,Withheld Income Tax (Adjustable),Passenger Transport Public Vehicle Tax u/s 234 (Non-Air Conditioned),64130002
236A,Withheld Income Tax (Adjustable),Purchase by Auction u/s 236A (ATL @ 10% / Non-ATL @ 20%),64150101
236A(3)/1,Withheld Income Tax (Final),Purchase by Auction u/s 236A (3) (ATL @ 10% / Non-ATL @ 20%),64150102
231AA,Withheld Income Tax (Adjustable),Certain Banking Transactions u/s 231AA (Non-ATL @ 0.6%),64100201
236B,Withheld Income Tax (Adjustable),Domestic Air Ticket Charges u/s 236B (5%),64150201
236D,Withheld Income Tax (Adjustable),Functions / Gatherings Charges u/s 236D,64150401
236C/1,Withheld Income Tax (Adjustable),Sale / Transfer of Immovable Property u/s 236C,64150301
236F(1),Withheld Income Tax (Adjustable),Issuance of License to Cable Operators u/s 236F,64150601
236E(a),Withheld Income Tax (Adjustable),Certification of Foreign-Produced TV Play Single u/s 236E,64150501
236I,Withheld Income Tax (Adjustable),Educational Institution Fee u/s 236I (non-ATL) (5%),64150901
236G/2024/1,Withheld Income Tax (Adjustable),Purchase of other commodities by Distributors / Dealers / Wholesalers u/s 236G (ATL @0.1% / Non-ATL @0.2%) - For Tax Year 2024,64150701
236G/2024/2,Withheld Income Tax (Adjustable),Purchase of Fertilizer by Distributors / Dealers / Wholesalers u/s 236G (ATL @ 0.25% / Non-ATL @ 0.7%)  - For Tax Year 2024,64150702
236J,Withheld Income Tax (Adjustable),Issuance / Renewal of License to Dealers / Commission Agents / Arhatis u/s 236J,64151001
236G/2,Withheld Income Tax (Adjustable),Purchase of Fertilizer by Distributors / Dealers / Wholesalers u/s 236G (ATL (IT & ST) @0.25% / Non-ATL (ST) & ATL (IT) @0.7% / Non-ATL (IT) @2%),64150702
236L,Withheld Income Tax (Adjustable),Purchase of International Air Ticket u/s 236L,64151201
235A,Withheld Income Tax (Adjustable),Electricity Bill of Domestic Consumer u/s 235A,64140101
234/3,Withheld Income Tax (Adjustable),Private Vehicle Tax u/s 234,64130003
231B(3)/2,Withheld Income Tax (Adjustable),Motor Vehicle Sale u/s 231B(3) (Upto 850 cc) – on value of vehicle,64100303
236P,Withheld Income Tax (Adjustable),Banking transactions otherwise than through cash u/s 236P (Non-ATL @ 0.6%),64151501
236Q,Withheld Income Tax (Final),"Payment for use or right to use industrial, commercial and scientific equipment u/s 236Q (1) (10%)",64151651
236R,Withheld Income Tax (Adjustable),Education related expenses remitted abroad u/s 236R,64151701
236T,Withheld Income Tax (Adjustable),Purchase of future commodity contracts u/s 236T,64151901
236S,Withheld Income Tax (Adjustable),Dividend in specie u/s 236S (ATL @ 15% / Non-ATL @ 30%),64151801
236U/1,Withheld Income Tax (Adjustable),Advance tax on life insurance premium u/s 236U (Non-ATL @ 1%),64151903
236U/2,Withheld Income Tax (Adjustable),Advance tax on general insurance premium u/s 236U (Non-ATL @ 4%),64151902
236V,Withheld Income Tax (Adjustable),Advance tax on general insurance premium u/s 236U (Non-ATL @ 4%),64151904
236(1)(a)/1,Withheld Income Tax (Adjustable),Telephone Bill u/s 236(1)(a),64150001
236(1)(a)/2,Withheld Income Tax (Adjustable),Cell phone Bill u/s 236(1)(a) 15%,64150002
149/4,Withheld Income Tax (Adjustable),Salary of Corporate Sector Employees u/s 149,64020003
152(2)/1,Withheld Income Tax (Adjustable),"Payment for Goods, Services, Contracts, Rent, etc. to a Non-Resident u/s 152(2) (@ 20%)",64050007
152(2)/2,Withheld Income Tax (Adjustable),Profit on Debt to a Non-Resident u/s 152(2),64050008
152(2A)(a),Withheld Income Tax (Adjustable),"Payment for Goods to a PE of a Non-Resident u/s 152(2A)(a) / Division II, Part III, 1st Schedule",64050009
152(2A)(b)/1,Withheld Income Tax (Adjustable),"Payment for Transport Services to a PE of a Non-Resident u/s 152(2A)(b) / Division II, Part III, 1st Schedule",64050010
152(2A)(b)/2,Withheld Income Tax (Adjustable),"Payment for Other Services to a PE of a Non-Resident u/s 152(2A)(b) / Division II, Part III, 1st Schedule",64050011
152(2A)(c),Withheld Income Tax (Adjustable),"Payment for Contracts to a PE of a Non-Resident u/s 152(2A)(c) / Division II, Part III, 1st Schedule",64050012
233A(1)(a),Withheld Income Tax (Adjustable),Value of Shares traded through a member of a Stock exchange u/s 233A (1)(a) (ATL @ 0.02% / Non-ATL @ 0.04%),64120101
233AA/2,Withheld Income Tax (Adjustable),"Margin Financing, Margin Trading or Securities Lending u/s 233AA (10% on Mark-up/ Interest)",64120201
235/3,Withheld Income Tax (Adjustable),Electricity Bill of Commercial Consumer u/s 235,64140001
235/4,Withheld Income Tax (Adjustable),Electricity Bill of Industrial Consumer u/s 235,64140002
236(1)(b),Withheld Income Tax (Adjustable),Prepaid Telephone Card u/s 236(1)(b) 15%,64150003
236(1)(c),Withheld Income Tax (Adjustable),Phone Unit u/s 236(1)(c) 15%,64150004
236E,Withheld Income Tax (Adjustable),Certification of Foreign-Produced TV Drama Serial u/s 236E,64150502
236F,Withheld Income Tax (Adjustable),Renewal of License to Cable Operators u/s 236F,64150602
150/6,Withheld Income Tax (Final),Dividend u/s 150 @20%,64030057
150/8,Withheld Income Tax (Final),Dividend to a Non-Resident covered under ADTT u/s 150 / u/s 5,64030099
150/9,Withheld Income Tax (Final),Dividend u/s 150 (ATL @ 15% / Non-ATL @ 30%),64030055
152(1),Withheld Income Tax (Final),"Royalty / Fee for Technical Services to a Non-Resident u/s 152(1) / Division IV, Part I, 1st Schedule (ATL @ 15%)",64050051
152(1A)(a),Withheld Income Tax (Final),"Payment for Contracts for Construction, Assembly or Installation to a Non-Resident u/s 152(1A)(a) / Division II, Part III, 1st Schedule (7%)",64050052
152(1A)(b),Withheld Income Tax (Final),"Payment for Services, Contracts to a Non-Resident u/s 152(1A)(b) / Division II, Part III, 1st Schedule (ATL @ 7% / Non-ATL @ 14%)",64050053
152(1A)(c),Withheld Income Tax (Final),"Fee for Advertisement Services to a Non-Resident u/s 152(1A)(c) / Division II, Part III, 1st Schedule (7%)",64050054
152(1AA),Withheld Income Tax (Final),"Insurance / Reinsurance Premium to a Non-Resident u/s 152(1AA) / Division II, Part III, 1st Schedule (ATL @ 5% ))",64050055
152(1AAA),Withheld Income Tax (Final),"Fee for Advertisement Services to a Non-Resident u/s 152(1AAA) / Division II, Part III, 1st Schedule",64050056
152(2),Withheld Income Tax (Final),"Profit on Debt u/s 152(2) / u/c (5A), Part II, 2nd Schedule",64050096
152(2)/3,Withheld Income Tax (Adjustable),"Profit on Debt u/s 152(2) / u/c (5A), Part II, 2nd Schedule",64050018
ADTT/1,Withheld Income Tax (Final),Royalty / Fee for Technical Services to a Non-Resident covered under ADTT,64050097
ADTT/2,Withheld Income Tax (Final),"Payment for Goods, Services, Contracts, Rent, Capital Gains, etc. to a Non-Resident covered under ADTT",64050098
153(1)(a)/2,Withheld Income Tax (Final),Payment for Goods u/s 153(1)(a)  (ATL @ 1% / Non-ATL @ 2%),64060052
153(1)(a)/3,Withheld Income Tax (Final),Payment for Goods u/s 153(1)(a) (ATL @ 1.5% / Non-ATL @ 3%),64060053
153(1)(a)/4,Withheld Income Tax (Final),Payment for Goods u/s 153(1)(a) (ATL @ 4% / Non-ATL @ 8%),64060058
153(1)(a)/5,Withheld Income Tax (Final),Payment for Goods u/s 153(1)(a) (ATL @ 4.5% / Non-ATL @ 9%),64060059
153(1)(b)/2,Withheld Income Tax (Final),Payment for Services u/s 153(1)(b) @1% and 2% for non-ATL),64060152
153(1)(b)/3,Withheld Income Tax (Final),Payment for Services u/s 153(1)(b) @2%,64060154
153(1)(b)/4,Withheld Income Tax (Final),Payment for Services u/s 153(1)(b) (ATL @ 8% / Non-ATL @ 16%),64060166
153(1)(b)/5,Withheld Income Tax (Final),Payment for Services u/s 153(1)(b) (ATL @ 10% / Non-ATL @ 20%),64060170
153(1)(c)/1,Withheld Income Tax (Final),Receipts from Contracts u/s 153(1)(c) (ATL @ 7% / Non-ATL @ 14%),64060264
153(1)(c)/2,Withheld Income Tax (Final),Receipts from Contracts u/s 153(1)(c) (ATL @ 7.5% / Non-ATL @ 15%),64060265
153(1)(c)/3,Withheld Income Tax (Final),Receipts from Contracts u/s 153(1)(c) (ATL @ 10% / Non-ATL @ 20%),64060270
153(1)(c)/4,Withheld Income Tax (Final),Receipts from Contracts u/s 153(1)(c) @12%,64060274
153(1)(c)/5,Withheld Income Tax (Final),Receipts from Contracts u/s 153(1)(c) @12.5%,64060275
153(1)(c)/9,Withheld Income Tax (Adjustable),Receipts from Contracts u/s 153(1)(c) (ATL @ 7% / Non-ATL @ 14%),64060214
153(1)(c)/8,Withheld Income Tax (Adjustable),Receipts from Contracts u/s 153(1)(c) @14%,64060228
153(2),Withheld Income Tax (Final),Fee for export related services u/s 153(2) (ATL @ 1% / Non-ATL @ 2%),64060352
233/1,Withheld Income Tax (Final),Brokerage / Commission (Advertising Agencies) u/s 233 (ATL @ 10% / Non-ATL @ 20%),64120070
233/2,Withheld Income Tax (Final),Brokerage / Commission (others) u/s 233 (ATL @ 12% / Non-ATL @ 24%),64120074
233/3,Withheld Income Tax (Final),Brokerage / Commission (Life insurance below 0.5 million P.A) u/s 233 (ATL @ 8% / Non-ATL @ 16%),64120066
233/4,Withheld Income Tax (Final),Brokerage / Commission – Advertising Agents u/s 233 (2A),64120086
233/5,Withheld Income Tax (Final),Brokerage / Commission u/s 233 @5%,64120060
233/6,Withheld Income Tax (Final),Brokerage / Commission u/s 233 @15%,64120080
233/7,Withheld Income Tax (Final),Brokerage / Commission u/s 233 @16%,64120082
ADTT/3,Withheld Income Tax (Final),Profit on Debt to a Non-Resident covered under ADTT,64050099
156/3,Withheld Income Tax (Final),Winnings from Raffle u/s 156 (ATL @ 20% / Non-ATL @ 40%),64090053
156/4,Withheld Income Tax (Final),Winnings from Lottery u/s 156 (ATL @ 20% / Non-ATL @ 40%),64090054
156/5,Withheld Income Tax (Final),Winnings from Quiz u/s 156 (ATL @ 20% / Non-ATL @ 40%),64090055
156/6,Withheld Income Tax (Final),Winnings from Sale Promotion u/s 156 (ATL @ 20% / Non-ATL @ 40%),64090056
236Z/1,Withheld Income Tax (Final),Issuance of Bonus shares by companies u/s 236Z (ATL @10% / Non-ATL @20%),64151351
235/1,Withheld Income Tax (Final),Electricity Bill of Commercial Consumer u/s 235,64140051
234(A),Withheld Income Tax (Final),CNG Station Gas Bill u/s 234A (ATL @ 4% / Non-ATL @ 8%),64130151
